Image_Name,Prompt
albert_einstein.png,a man wearing a red hat
albert_einstein.png,a man wearing a santa hat
albert_einstein.png,a man wearing a rainbow scarf
albert_einstein.png,a man wearing a black top hat and a monocle
albert_einstein.png,a man in a chef outfit
albert_einstein.png,a man in a firefighter outfit
albert_einstein.png,a man in a police outfit
albert_einstein.png,a man wearing pink glasses
albert_einstein.png,a man wearing a yellow shirt
albert_einstein.png,a man in a purple wizard outfit
albert_einstein.png,a painting of a man in the style of Banksy
albert_einstein.png,a painting of a man in the style of Vincent Van Gogh
albert_einstein.png,a colorful graffiti painting of a man
albert_einstein.png,a watercolor painting of a man
albert_einstein.png,a Greek marble sculpture of a man
albert_einstein.png,a street art mural of a man
albert_einstein.png,a black and white photograph of a man
albert_einstein.png,a pointillism painting of a man
albert_einstein.png,a Japanese woodblock print of a man
albert_einstein.png,a street art stencil of a man
albert_einstein.png,a man img riding a horse
albert_einstein.png,a man img holding a glass of wine
albert_einstein.png,a man img holding a piece of cake
albert_einstein.png,a man img giving a lecture
albert_einstein.png,a man img reading a book
albert_einstein.png,a man img gardening in the backyard
albert_einstein.png,a man img cooking a meal
albert_einstein.png,a man img working out at the gym
albert_einstein.png,a man img walking the dog
albert_einstein.png,a man img baking cookies
albert_einstein.png,a man img wearing a doctoral cap
albert_einstein.png,a man img wearing a spacesuit
albert_einstein.png,a man img wearing sunglasses and necklace
albert_einstein.png,a man coding in front of a computer
albert_einstein.png,a man in a helmet and vest riding a motorcycle
albert_einstein.png,a man in the jungle
albert_einstein.png,a man in the snow
albert_einstein.png,a man on the beach
albert_einstein.png,a man on a cobblestone street
albert_einstein.png,a man on top of pink fabric
albert_einstein.png,a man on top of a wooden floor
albert_einstein.png,a man with a city in the background
albert_einstein.png,a man with a mountain in the background
albert_einstein.png,a man with a blue house in the background
albert_einstein.png,a man on top of a purple rug in a forest
andrew_ng.png,a man wearing a red hat
andrew_ng.png,a man wearing a santa hat
andrew_ng.png,a man wearing a rainbow scarf
andrew_ng.png,a man wearing a black top hat and a monocle
andrew_ng.png,a man in a chef outfit
andrew_ng.png,a man in a firefighter outfit
andrew_ng.png,a man in a police outfit
andrew_ng.png,a man wearing pink glasses
andrew_ng.png,a man wearing a yellow shirt
andrew_ng.png,a man in a purple wizard outfit
andrew_ng.png,a painting of a man in the style of Banksy
andrew_ng.png,a painting of a man in the style of Vincent Van Gogh
andrew_ng.png,a colorful graffiti painting of a man
andrew_ng.png,a watercolor painting of a man
andrew_ng.png,a Greek marble sculpture of a man
andrew_ng.png,a street art mural of a man
andrew_ng.png,a black and white photograph of a man
andrew_ng.png,a pointillism painting of a man
andrew_ng.png,a Japanese woodblock print of a man
andrew_ng.png,a street art stencil of a man
andrew_ng.png,a man img riding a horse
andrew_ng.png,a man img holding a glass of wine
andrew_ng.png,a man img holding a piece of cake
andrew_ng.png,a man img giving a lecture
andrew_ng.png,a man img reading a book
andrew_ng.png,a man img gardening in the backyard
andrew_ng.png,a man img cooking a meal
andrew_ng.png,a man img working out at the gym
andrew_ng.png,a man img walking the dog
andrew_ng.png,a man img baking cookies
andrew_ng.png,a man img wearing a doctoral cap
andrew_ng.png,a man img wearing a spacesuit
andrew_ng.png,a man img wearing sunglasses and necklace
andrew_ng.png,a man coding in front of a computer
andrew_ng.png,a man in a helmet and vest riding a motorcycle
andrew_ng.png,a man in the jungle
andrew_ng.png,a man in the snow
andrew_ng.png,a man on the beach
andrew_ng.png,a man on a cobblestone street
andrew_ng.png,a man on top of pink fabric
andrew_ng.png,a man on top of a wooden floor
andrew_ng.png,a man with a city in the background
andrew_ng.png,a man with a mountain in the background
andrew_ng.png,a man with a blue house in the background
andrew_ng.png,a man on top of a purple rug in a forest
barack_obama.png,a man wearing a red hat
barack_obama.png,a man wearing a santa hat
barack_obama.png,a man wearing a rainbow scarf
